Designator,Val,Package,MidX,MidY,Rotation,Layer
C_1V-Decoup1,1u,C_0402_1005Metric,27.087038,48.81548,90,bottom
C_1V-Decoup2,100n,C_0402_1005Metric,29.76596,49.113138,90,bottom
C_1V-Decoup3,100n,C_0402_1005Metric,25.854281,35.974898,-135,bottom
C_3V-Decoup1,10u,C_0402_1005Metric,23.663971,48.81548,90,bottom
C_3V-Decoup2,1u,C_0402_1005Metric,25.20109,48.81548,90,bottom
C_3V-Decoup3,100n,C_0402_1005Metric,28.822986,49.113138,90,bottom
C_3V-Decoup4,100n,C_0402_1005Metric,24.556945,42.662608,90,bottom
C_3V-Decoup5,100n,C_0402_1005Metric,23.183971,45.462608,180,bottom
C_3V-Decoup6,100n,C_0402_1005Metric,33.784343,46.136558,90,bottom
C_3V-Decoup7,100n,C_0402_1005Metric,26.144064,48.81548,90,bottom
C_3V-Decoup8,100n,C_0402_1005Metric,27.128416,35.463094,-135,bottom
C_3V-Decoup9,100n,C_0402_1005Metric,33.784343,41.225201,-90,bottom
C_Crystal1,22p,C_0402_1005Metric,31.849299,32.146956,45,bottom
C_Crystal2,22p,C_0402_1005Metric,28.352758,31.854942,135,bottom
C_Flash1,100n,C_0402_1005Metric,40.481352,63.972768,-90,bottom
C_LD1,1u,C_0402_1005Metric,18.157077,64.785627,90,bottom
C_LD2,1u,C_0402_1005Metric,12.799251,64.785627,90,bottom
D1,1N4148W,D_SOD-123,16.073478,68.163453,90,bottom
D2,1N4148W,D_SOD-123,18.454623,48.815862,90,bottom
D3,1N4148W,D_SOD-123,23.217484,29.778249,90,bottom
D4,1N4148W,D_SOD-123,16.073371,8.334578,90,bottom
D5,1N4148W,D_SOD-123,35.123526,68.163453,90,bottom
D6,1N4148W,D_SOD-123,39.885891,48.815862,90,bottom
D7,1N4148W,D_SOD-123,49.430738,29.765846,90,bottom
D8,1N4148W,D_SOD-123,35.123387,8.334578,90,bottom
D9,1N4148W,D_SOD-123,54.173574,68.163453,90,bottom
D10,1N4148W,D_SOD-123,58.935907,48.815862,90,bottom
D11,1N4148W,D_SOD-123,68.480754,29.765846,90,bottom
D12,1N4148W,D_SOD-123,54.173403,8.334578,90,bottom
D13,1N4148W,D_SOD-123,73.223622,68.163453,90,bottom
D14,1N4148W,D_SOD-123,77.985923,48.815862,90,bottom
D15,1N4148W,D_SOD-123,87.53077,29.765846,90,bottom
D16,1N4148W,D_SOD-123,92.27367,68.163453,90,bottom
D17,1N4148W,D_SOD-123,97.035939,48.951801,90,bottom
D18,1N4148W,D_SOD-123,106.580786,29.765846,90,bottom
D19,1N4148W,D_SOD-123,88.701557,8.334578,90,bottom
D20,1N4148W,D_SOD-123,111.323718,68.163453,90,bottom
D21,1N4148W,D_SOD-123,116.085955,48.815862,90,bottom
D22,1N4148W,D_SOD-123,125.630802,29.765846,90,bottom
D23,1N4148W,D_SOD-123,126.801589,8.334578,90,bottom
D24,1N4148W,D_SOD-123,130.373467,68.163453,90,bottom
D25,1N4148W,D_SOD-123,135.135971,48.815862,90,bottom
D26,1N4148W,D_SOD-123,144.680818,29.765846,90,bottom
D27,1N4148W,D_SOD-123,149.423483,68.163453,90,bottom
D28,1N4148W,D_SOD-123,154.185987,48.815862,90,bottom
D29,1N4148W,D_SOD-123,163.730834,29.765846,90,bottom
D30,1N4148W,D_SOD-123,158.948491,8.334578,90,bottom
D31,1N4148W,D_SOD-123,168.473499,68.163453,90,bottom
D32,1N4148W,D_SOD-123,173.236003,48.815862,90,bottom
D33,1N4148W,D_SOD-123,190.202823,29.7657,90,bottom
D34,1N4148W,D_SOD-123,177.998507,8.334578,90,bottom
D35,1N4148W,D_SOD-123,192.286019,68.163453,90,bottom
D36,1N4148W,D_SOD-123,194.667271,48.815862,90,bottom
D37,1N4148W,D_SOD-123,194.667271,8.334578,90,bottom
J1,SM04B-SRSS-TB(LF)(SN),JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,22.24988,62.805627,-90,bottom
MX1,CPG151101S11,MXOnly-1U-Hotswap,9.52488,71.437794,180,bottom
MX2,CPG151101S11,MXOnly-1.25U-Hotswap,11.90613,52.387794,180,bottom
MX3,CPG151101S11,MXOnly-1.75U-Hotswap,16.66863,33.337794,180,bottom
MX4,CPG151101S11,MXOnly-1U-Hotswap,9.52488,14.287794,180,bottom
MX5,CPG151101S11,MXOnly-1U-Hotswap,28.57488,71.437794,180,bottom
MX6,CPG151101S11,MXOnly-1U-Hotswap,33.33738,52.387794,180,bottom
MX7,CPG151101S11,MXOnly-1U-Hotswap,42.86238,33.337794,180,bottom
MX8,CPG151101S11,MXOnly-1U-Hotswap,28.57488,14.287794,180,bottom
MX9,CPG151101S11,MXOnly-1U-Hotswap,47.62488,71.437794,180,bottom
MX10,CPG151101S11,MXOnly-1U-Hotswap,52.38738,52.387794,180,bottom
MX11,CPG151101S11,MXOnly-1U-Hotswap,61.91238,33.337744,180,bottom
MX12,CPG151101S11,MXOnly-1U-Hotswap,47.62488,14.287794,180,bottom
MX13,CPG151101S11,MXOnly-1U-Hotswap,66.67488,71.437794,180,bottom
MX14,CPG151101S11,MXOnly-1U-Hotswap,71.43738,52.387794,180,bottom
MX15,CPG151101S11,MXOnly-1U-Hotswap,80.96238,33.337744,180,bottom
MX16,CPG151101S11,MXOnly-1U-Hotswap,85.72488,71.437794,180,bottom
MX17,CPG151101S11,MXOnly-1U-Hotswap,90.48738,52.387794,180,bottom
MX18,CPG151101S11,MXOnly-1U-Hotswap,100.01238,33.337794,180,bottom
MX19,CPG151101S11,MXOnly-2U-Hotswap-ReversedStabilizers,80.96238,9.525294,180,bottom
MX20,CPG151101S11,MXOnly-1U-Hotswap,104.77488,71.437794,180,bottom
MX21,CPG151101S11,MXOnly-1U-Hotswap,109.53738,52.387794,180,bottom
MX22,CPG151101S11,MXOnly-1U-Hotswap,119.06238,33.337744,180,bottom
MX23,CPG151101S11,MXOnly-2U-Hotswap-ReversedStabilizers,119.06238,9.525024,180,bottom
MX24,CPG151101S11,MXOnly-1U-Hotswap,123.82488,71.437794,180,bottom
MX25,CPG151101S11,MXOnly-1U-Hotswap,128.58738,52.387794,180,bottom
MX26,CPG151101S11,MXOnly-1U-Hotswap,138.11238,33.337794,180,bottom
MX27,CPG151101S11,MXOnly-1U-Hotswap,142.87488,71.437794,180,bottom
MX28,CPG151101S11,MXOnly-1U-Hotswap,147.63738,52.387794,180,bottom
MX29,CPG151101S11,MXOnly-1U-Hotswap,157.16238,33.337794,180,bottom
MX30,CPG151101S11,MXOnly-1U-Hotswap,152.39988,14.287794,180,bottom
MX31,CPG151101S11,MXOnly-1U-Hotswap,161.92488,71.437794,180,bottom
MX32,CPG151101S11,MXOnly-1U-Hotswap,166.68738,52.387794,180,bottom
MX33,CPG151101S11,MXOnly-1.75U-Hotswap,183.35613,33.337584,180,bottom
MX34,CPG151101S11,MXOnly-1U-Hotswap,171.44988,14.287794,180,bottom
MX35,CPG151101S11,MXOnly-1.5U-Hotswap,185.73738,71.437794,180,bottom
MX36,CPG151101S11,MXOnly-1.25U-Hotswap,188.11863,52.387794,180,bottom
MX37,CPG151101S11,MXOnly-1U-Hotswap,190.49988,14.287794,180,bottom
MX38,CPG151101S11,MXOnly-2U-Hotswap-ReversedStabilizers,100.01238,9.525024,180,bottom
R_Crystal1,1k,R_0402_1005Metric,28.692169,35.304086,45,bottom
R_DATA1,27,R_0402_1005Metric,23.366313,54.917469,-90,bottom
R_DATA2,27,R_0402_1005Metric,22.026501,54.917469,-90,bottom
R_Flash1,1k,R_0402_1005Metric,36.909474,63.942768,-90,bottom
R_Flash2,5k1,R_0402_1005Metric,39.290726,63.942768,-90,bottom
R_Flash3,5k1,R_0402_1005Metric,38.1001,63.942768,90,bottom
R_RST1,5k1,R_0402_1005Metric,4.411172,9.525224,180,bottom
SW1,BOOTSEL,SW_SPST_TL3342,38.100096,24.407874,0,bottom
SW2,RESET,SW_SPST_TL3342,26.193816,24.407874,0,bottom
U1,RP2040,RP2040-QFN-56,29.170386,42.862608,180,bottom
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,46.434492,62.547768,180,bottom
U3,XC6206P332MR,SOT-23,15.478164,62.805627,90,bottom
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,30.247036,33.749219,45,bottom
